,dates,CA,TX,WI
229,2011-09-15,0.15,8.149999999999999,0.0
230,2011-09-16,0.0,4.8,0.95
231,2011-09-17,0.15,10.15,0.35
232,2011-09-18,0.0,5.9,13.9
233,2011-09-19,0.0,1.45,1.45
234,2011-09-20,0.0,0.0,5.6499999999999995
235,2011-09-21,0.0,0.4,3.25
236,2011-09-22,0.3,2.0500000000000003,0.55
237,2011-09-23,2.6500000000000004,0.1,0.2
238,2011-09-24,5.8500000000000005,0.0,2.0
239,2011-09-25,0.0,0.0,5.5
240,2011-09-26,0.2,0.0,19.1
241,2011-09-27,0.0,0.1,12.1
242,2011-09-28,0.0,0.0,7.6
243,2011-09-29,0.0,0.9,5.3500000000000005
244,2011-09-30,0.85,0.55,0.4
245,2011-10-01,0.2,0.0,0.1
246,2011-10-02,0.2,0.0,0.0
247,2011-10-03,0.1,0.0,0.0
248,2011-10-04,0.2,0.0,0.0
249,2011-10-05,25.049999999999997,0.0,0.0
250,2011-10-06,0.45,0.9,0.0
251,2011-10-07,0.2,4.699999999999999,0.0
252,2011-10-08,0.0,17.45,2.65
253,2011-10-09,0.0,41.150000000000006,0.15
254,2011-10-10,0.0,0.8,0.4
255,2011-10-11,0.0,0.35,1.1
256,2011-10-12,0.0,4.8,5.2
257,2011-10-13,0.0,0.45,16.05
258,2011-10-14,0.0,0.0,0.05
259,2011-10-15,0.0,0.0,0.05
260,2011-10-16,0.0,0.0,0.25
261,2011-10-17,0.0,3.9,0.0
262,2011-10-18,0.0,1.05,0.7
263,2011-10-19,0.0,0.0,5.6000000000000005
264,2011-10-20,0.0,0.0,5.75
265,2011-10-21,0.0,0.0,0.0
266,2011-10-22,0.0,1.6,0.0
267,2011-10-23,0.0,1.1,4.35
268,2011-10-24,0.25,0.1,0.95
269,2011-10-25,0.0,0.1,4.25
270,2011-10-26,0.2,0.1,1.3
271,2011-10-27,0.0,7.2,4.05
272,2011-10-28,0.0,0.2,0.85
273,2011-10-29,0.0,0.0,1.3
274,2011-10-30,0.0,0.0,6.05
275,2011-10-31,0.0,0.0,0.15000000000000002
276,2011-11-01,0.0,0.0,1.95
277,2011-11-02,0.0,0.35,6.75
278,2011-11-03,0.0,0.0,5.2
279,2011-11-04,14.15,0.0,0.0
280,2011-11-05,0.0,0.1,0.05
281,2011-11-06,5.3,6.25,1.2
282,2011-11-07,0.4,15.0,0.05
283,2011-11-08,0.0,2.0999999999999996,4.5
284,2011-11-09,0.0,0.05,10.049999999999999
285,2011-11-10,0.0,0.0,1.1
286,2011-11-11,0.15,0.0,0.0
287,2011-11-12,12.8,0.5,0.0
288,2011-11-13,0.0,0.15,1.85
289,2011-11-14,0.15,0.9,1.05
290,2011-11-15,0.0,3.55,0.75
291,2011-11-16,0.0,0.0,0.0
292,2011-11-17,0.0,0.0,0.0
293,2011-11-18,0.05,0.0,0.0
294,2011-11-19,1.05,0.8500000000000001,4.9
295,2011-11-20,20.6,3.6,0.3
296,2011-11-21,0.25,10.85,0.05
297,2011-11-22,0.0,8.6,1.95
298,2011-11-23,0.0,0.0,0.0
299,2011-11-24,0.0,0.0,0.0
300,2011-11-25,0.0,0.45,0.1
301,2011-11-26,0.0,7.15,7.699999999999999
302,2011-11-27,0.0,0.0,10.4
303,2011-11-28,0.0,0.0,0.0
304,2011-11-29,0.0,0.0,0.0
305,2011-11-30,0.0,0.0,0.45
306,2011-12-01,0.05,1.3,2.5
307,2011-12-02,0.25,5.05,1.05
308,2011-12-03,0.0,5.9,6.75
309,2011-12-04,0.0,6.15,4.699999999999999
